_id,Geographic Area Served,Asset Name,Type of Entity,Digital Equity Pillars,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,Description of Services,Website,Street Address
70,Hawaii,Waipahu Community School for Adults - Kona Campus,State Agency,Digital Literacy,1,1,1,1,1,1,1,1,1,WCSA is part of the Department of Education and offers basic skill development and digital literacy classes for individuals in the community to gain digital literacy skills to function in society and in the workplace. Additional class locations and information are available on the WCSA website.,https://www.wcsahawaii.org/,"74-5062 Onipa'a Street, Kailua-Kona, HI  96740"
71,Hawaii,West Hawai'i Explorations PCS,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Honokaa-Kealakehe-Kohala-Konawaena complex area.,https://www.whea.net,"73-4500 Kahilihili St, Kailua-Kona, HI 96740"
72,Hawaii Island,Arc of Kona,Non-profit,Digital Literacy,x,,,,1,,,,,private nonprofit that assists persons with disabilities. One of their main programs helps with providing employment resources. ,https://www.arcofkona.org/location,"81-990 Haleki’i Street, Suite #150
Kealakekua, HI 96750"
73,Hawaii Island,Friends of the Future  ,Non-profit,,,x,,,,,,x,,Internet and computer access; individual support based on personʻs need.,fofhawaii.org,"64-1032 Mamalahoa Highway
Kamuela, HI 96743"
74,Hawaii Island,Hawaii Digital Equity Coalition,County Initiative,Broadband Availability & Affordability; Device Availability; Digital Navigators; Online Privacy & Cybersecurity; Digital LIteracy; Device Availability & Affordability,1,1,1,1,1,1,1,1,1,"A collection of Hawaii Island partners who strive to bridge the digital divide within the community. The purpose of this group is to:
Create an island-wide network of partners committed to achieving digital equity within the lāhui (community); Create a public document that Hawaii Island organizations can use to support their funding requests; Have the County of Hawaii nationally recognized as a ""digital trailblazer"" by the NDIA (National Digital Inclusion Alliance).",https://www.rd.hawaiicounty.gov/economic-development/broadband,"25 Aupuni Street, Suite 1301
Hilo, HI 96720"
75,Hawaii Island,Ocean View Community Association Community Center,Non-profit,Broadband Availability; Device Availability; Digital Literacy,1,x,,x,,x,,1,x,"Free public WiFi available with password 8am to 8pm. Classrooms available for public use, one with two computers and a telehealth station with simple instructions. VA comes on Fridays for telehealth appointments. Office staffed Monday through Saturday, 9am to noon.",https://www.ovcahi.org,"92-8924 Leilani Circle
Ocean View, HI 96731"
76,Hawaii Island,St. Jude Episcopal Church,Church,Broadband Availability; Device Availability,1,x,x,,,1,x,1,x,"Only place in Ocean View with 24/7 free public WiFi (no password required) with two plugs outside for charging devices.  Includes small computer lab available for use with sign-in; available for summer school, all other purposes. Free food, showers on Saturdays (wraparound services).  ",http://www.stjudeshawaii.org,"92-8606 Paradise Circle
Ocean View, HI 96731"
77,Hawaii Island,State of Hawaii Department of Vocational Rehabilitation - Hawaii Branch,State Agency,Device Availability & Affordability; Broadband Availability; Digital Literacy,x,,x,x,1,x,,x,x,"Program for persons with disabilities who require assistance to prepare for, secure, retain or regain employment. Provides a rehabilitation worker who specializes in job training and job placement. May provide assistive technology and training depending on the skills needed for employment.",https://humanservices.hawaii.gov/vr/contact-vr/,"75 Aupuni St.,Rm 110
Hilo, HI 96720"
78,Hawaii Island,State of Hawaii Department of Vocational Rehabilitation - Kona Section Field Office,State Agency,Device Availability & Affordability; Broadband Availability; Digital Literacy,x,,x,x,1,x,,x,x,"Program for persons with disabilities who require assistance to prepare for, secure, retain or regain employment. Provides a rehabilitation worker who specializes in job training and job placement. May provide assistive technology and training depending on the skills needed for employment.",https://humanservices.hawaii.gov/vr/contact-vr/,"75-5722 Kuakini Hwy., Room 213
Kailua-Kona, HI 96740"
79,Hawaii Island,Vibrant Hawaii Digital Literacy Project,Non-profit,"Broadband Availability & Affordability, Device Availability, Digital Literacy",1,x,x,x,x,x,x,1,x,Access for children and families to utilize laptops to engage in school online/educational activities; digital literacy classes for rural communities.,https://www.vibranthawaii.org/,"230 Kekūanaoʻa Street
Hilo, HI 96720"
